hmdb_id	name	pubchem_id	chebi_id	kegg_id	metlin_id	lipid	smiles	exactmass	formula	inchi_key	super_class	main_class	sub_class	synonym	chem_id	comp_id	derived_feature
""	chenodeoxycholic acid sulfate (1)			""			""			""		""	""	chenodeoxycholic acid sulfate (1)	100021650	63607	FALSE
""	isoursodeoxycholate sulfate (1)			""			""			""		""	""	isoursodeoxycholate sulfate (1)	100021647	63602	FALSE
""	2-hydroxysebacate			""			""			""		""	""	2-hydroxysebacate	100020378	63357	FALSE
""	cis-4-decenoate (10:1n6)*			""			""			""		""	""	cis-4-decenoate (10:1n6)*	100002796	62873	FALSE
""	branched-chain, straight-chain, or cyclopropyl 10:1 fatty acid (2)*			""			""			""		""	""	branched-chain, straight-chain, or cyclopropyl 10:1 fatty acid (2)*	100021667	63616	FALSE
""	branched-chain, straight-chain, or cyclopropyl 10:1 fatty acid (3)*			""			""			""		""	""	branched-chain, straight-chain, or cyclopropyl 10:1 fatty acid (3)*	100021668	63617	FALSE
""	(2 or 3)-decenoate (10:1n7 or n8)			""			""			""		""	""	(2 or 3)-decenoate (10:1n7 or n8)	100021502	63436	FALSE
""	ethyl beta-glucopyranoside			""			""			""		""	""	ethyl beta-glucopyranoside	100020377	64131	FALSE
""	3-indoleglyoxylic acid			""			""			""		""	""	3-indoleglyoxylic acid	100020372	63583	FALSE
""	N,N-dimethylalanine			""			""			""		""	""	N,N-dimethylalanine	100020371	63151	FALSE
""	N-acetyl-2-aminoadipate			""			""			""		""	""	N-acetyl-2-aminoadipate	100021760	63920	FALSE
""	palmitoyl-sphingosine-phosphoethanolamine (d18:1/16:0)			""			""			""		""	""	palmitoyl-sphingosine-phosphoethanolamine (d18:1/16:0)	100021162	62984	FALSE
""	ethyl alpha-glucopyranoside			""			""			""		""	""	ethyl alpha-glucopyranoside	100015965	63152	FALSE
""	3-(3-amino-3-carboxypropyl)uridine*			""			""			""		""	""	3-(3-amino-3-carboxypropyl)uridine*	100001426	62924	FALSE
""	GlcNAc sulfate conjugate of C21H34O2 steroid**			""			""			""		""	""	GlcNAc sulfate conjugate of C21H34O2 steroid**	100021726	63699	FALSE
""	cholesterol sulfate			""			""			""		""	""	cholesterol sulfate	100001606	35324	FALSE
""	hydroxy-N6,N6,N6-trimethyllysine*			""			""			""		""	""	hydroxy-N6,N6,N6-trimethyllysine*	100021123	62959	FALSE
""	N-carbamoylvaline			""			""			""		""	""	N-carbamoylvaline	100020351	62852	FALSE
""	glutamine conjugate of C6H10O2 (1)*			""			""			""		""	""	glutamine conjugate of C6H10O2 (1)*	100020261	63657	FALSE
""	vanilloylglycine			""			""			""		""	""	vanilloylglycine	100021363	63853	FALSE
""	N,N-dimethyl-pro-pro			""			""			""		""	""	N,N-dimethyl-pro-pro	100022041	64571	FALSE
""	3-amino-2-piperidone			""			""			""		""	""	3-amino-2-piperidone	100020361	62853	FALSE
""	bilirubin degradation product, C17H18N2O4 (1)**			""			""			""		""	""	bilirubin degradation product, C17H18N2O4 (1)**	100022005	64409	FALSE
